# title: Vicarello Beakers
# author: Anonymous
# language: la
# date (numeric): 300
# date: around 200 - 400 CE
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# collections: Latin Tradition
toponym;gazetteer_uri;gazetteer_label;lat;lng;place_category;document_part;status;tags;source;comment;img_x;img_y;img_all;
PLACENTIA;http://pleiades.stoa.org/places/383741;Placentia;45.0528;9.6966;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVI;;;;
LAMBRVM;http://pleiades.stoa.org/places/383685;Lambrum;45.1574;9.5266;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XX;;;;
TICINVM;http://pleiades.stoa.org/places/383798;Ticinum;45.1859;9.1566;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XX;;;;
LAVMELLVM;http://pleiades.stoa.org/places/383690;Laumellum;45.1227;8.7938;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XII;;;;
CVTTIAS;http://pleiades.stoa.org/places/383630;Cuttiae;45.1921;8.6111;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XXIIII;;;;
RIGOMAGI;http://pleiades.stoa.org/places/383759;Rigomagus;45.1931;8.2974;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XIII;;;;
QVADRATIS;http://pleiades.stoa.org/places/383753;Quadrata;45.1911;7.9694;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XXIIII;;;;
TAVRINIS;http://pleiades.stoa.org/places/383580;Augusta Taurinorum;45.0734;7.6854;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,route5";;XX;;;;
OCELO;http://pleiades.stoa.org/places/383720;Ocelum;45.1188;7.3319;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,route5";;XX;;;;
SEGVSIO;http://pleiades.stoa.org/places/167919;Segusio;45.1374;7.0454;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,";;XXIII;;;;
GOESAO;http://pleiades.stoa.org/places/167778;Gaesao/Tyrium;44.9546;6.7946;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,";;V;;;;
GRVENTIA;http://pleiades.stoa.org/places/167743;Druantium/*Alpis Cottia/Summae Alpes;44.931;6.7234;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,";;VI;;;;
BRIGANTIO;http://pleiades.stoa.org/places/167691;Brigantio;44.8969;6.6342;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,route5";;XVIII;;;;
