# title: Ming Dynasty Courier Routes and Postal Stations
# places: places_courier.csv
# timespan: [1368,,,1644,Late Ming Dynasty]
# pub_date: 2014
# segmentType: hroute
# contributors: [Lex Berman (CGA, Harvard Univ); Zhang Wei (Nankai University, Tianjin)]
# description: The Late Ming Dynasty Courier Stations and Routes were compiled primarily from the "Mingdai Yizhankao" by YANG Zhengtai, supplemented for some areas with information derived from the 1908 Postal Atlas. The Courier Stations and Routes were developed for use in an online network analyst application, which calculates the shortest route between selected postal stations on the fly:    http://maps.cga.harvard.edu/chinapostoffice/
# uri: https://github.com/kgeographer/topotime/tree/master/data/source/courier/README_Ming_Courier_Routes_Stations_2014.txt
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;maj_minor;src
courier;4000;4000-95;237;238;GUSHUI Zhejiang (濲水驿) - FUCHUN Zhejiang (富春驿);{"type":"MultiLineString","coordinates":[[[119.49885559082,29.5444812774658],[119.478851318359,29.2044525146484]]]};;;;1;
courier;4000;4000-96;230;237;TINGBU Zhejiang (亭步驿) - GUSHUI Zhejiang (濲水驿);{"type":"MultiLineString","coordinates":[[[119.478851318359,29.2044525146484],[119.172378540039,29.0347881317139]]]};;;;1;
courier;4000;4000-97;226;230;SHANGHANG Zhejiang (上航驿) - TINGBU Zhejiang (亭步驿);{"type":"MultiLineString","coordinates":[[[119.172378540039,29.0347881317139],[118.867645263672,28.9568214416504]]]};;;;1;
courier;4000;4000-98;226;919;SHANGHANG Zhejiang (上航驿) - CHANGSHANYI Zhejiang (常山驿);{"type":"MultiLineString","coordinates":[[[118.867645263672,28.9568214416505],[118.502663,28.903732]]]};;;;1;
courier;4000;4000-99;919;920;CHANGSHANYI Zhejiang (常山驿) - CAOPINGYI Jiangxi (草平驿);{"type":"MultiLineString","coordinates":[[[118.502663,28.903732],[118.344015,28.8124770000001]]]};;;;1;
courier;4000;4000-100;218;911;CHENGXIYI Fujian (城西驿) - YEFANGYI Fujian (叶坊驿);{"type":"MultiLineString","coordinates":[[[118.199996948242,27.2166671752931],[118.323783874512,27.0388641357422]]]};;;;1;
courier;4000;4000-101;218;910;CHENGXIYI Fujian (城西驿) - TAIPINGYI Fujian (太平驿);{"type":"MultiLineString","coordinates":[[[118.323783874512,27.0388641357422],[118.290583,26.9105930000002]]]};;;;1;
courier;4000;4000-102;215;887;JIANPUYI Fujian (剑浦驿) - CHAYANGYI Fujian (茶洋驿);{"type":"MultiLineString","coordinates":[[[118.16918182373,26.64217376709],[118.409354,26.5142730000001]]]};;;;1;
courier;4000;4000-103;222;888;HUANGTIAN Fujian (黄田驿) - SHUIKOUYI Fujian (水口驿);{"type":"MultiLineString","coordinates":[[[118.675102233887,26.4289093017579],[118.761289378539,26.3591759546095]]]};;;;1;
courier;4000;4000-104;228;233;BAISHA Fujian (白沙驿) - SANSHAN Fujian (三山驿);{"type":"MultiLineString","coordinates":[[[119.070297241211,26.2140407562256],[119.321578979492,26.07395362854]]]};;;;1;
courier;4000;4000-105;198;662;LVTING Anhui (吕亭驿) - TAOCHONGYI Anhui (陶冲驿);{"type":"MultiLineString","coordinates":[[[116.938606262207,31.0522804260253],[116.790157,30.922533]]]};;;;1;MDYZK
courier;4000;4000-106;191;663;QINGKOU Anhui (青口驿) - XIAOCHIYI Anhui (小池驿);{"type":"MultiLineString","coordinates":[[[116.567199707031,30.6303462982178],[116.388885498047,30.5255546569825]]]};;;;1;MDYZK
