collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;428;HEYUAN Guangdong (河源);http://maps.cga.harvard.edu/tgaz/placename/hvd_298;;114.691460;23.736834;Y;MDYZK;
courier;429;PUQIAN Guangdong (埔前);;;114.616235;23.573110;N;PA_1903;
courier;430;GUANYINGE Guangdong (观音阁);http://maps.cga.harvard.edu/tgaz/placename/hvd_126195;;114.586777;23.401756;N;PA_1903;
courier;431;CHIWEI Guangdong (赤尾);http://maps.cga.harvard.edu/tgaz/placename/hvd_126177;;114.525049;23.395285;N;PA_1903;
courier;432;HENGLI Guangdong (横沥);http://maps.cga.harvard.edu/tgaz/placename/hvd_126178;;114.610985;23.172495;N;PA_1903;
courier;433;XINLEYI Guangdong (欣乐驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9550;;114.410285;23.089378;N;MDYZK;
courier;434;BOLUO Guangdong (博罗);http://maps.cga.harvard.edu/tgaz/placename/hvd_347;;114.273606;23.172247;Y;MDYZK;
courier;435;WENCHUANYI Sichuan (文川驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_96620;;104.616356;28.774832;N;MDYZK;
courier;436;NANXI Sichuan (南溪);http://maps.cga.harvard.edu/tgaz/placename/hvd_1291;;104.972015;28.847984;Y;MDYZK;
courier;437;LUCHUANYI Sichuan (卢川驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9723;;105.437004;28.884363;N;MDYZK;
courier;438;LUQIAOYI Sichuan (陆桥驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1270;;105.273041;29.349380;N;MDYZK;
courier;439;RONGCHANG Chongqing (荣昌);http://maps.cga.harvard.edu/tgaz/placename/hvd_1271;;105.596313;29.412771;Y;MDYZK;
courier;440;NEIJIANG Sichuan (内江);http://maps.cga.harvard.edu/tgaz/placename/hvd_1264;;105.053894;29.580755;Y;MDYZK;
courier;441;ZIZHOU Sichuan (资县);http://maps.cga.harvard.edu/tgaz/placename/hvd_9718;;104.848358;29.784748;Y;MDYZK;
courier;442;DONGCHUAN Chongqing (东皋驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1269;;105.896606;29.360287;N;MDYZK;
courier;443;HEJIANG Sichuan (合江);http://maps.cga.harvard.edu/tgaz/placename/hvd_1298;;105.826729;28.812002;Y;MDYZK;
courier;444;NAXI Sichuan (纳溪驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1300;;105.381729;28.782063;Y;MDYZK;
courier;445;YONGNING Sichuan (永宁卫);http://maps.cga.harvard.edu/tgaz/placename/hvd_1778;;105.420772;28.174404;Y;MDYZK;
courier;446;CHANGNING Sichuan (长宁);http://maps.cga.harvard.edu/tgaz/placename/hvd_1289;;104.889175;28.379269;Y;MDYZK;
courier;447;DUNINGYI Sichuan (都宁驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1295;;104.797791;28.381191;N;MDYZK;
courier;448;XINGWEN Sichuan (兴文);http://maps.cga.harvard.edu/tgaz/placename/hvd_1297;;105.086327;28.340626;B;PA_1903;
courier;449;HUILI Sichuan (会理);http://maps.cga.harvard.edu/tgaz/placename/hvd_1304;;102.233864;26.661867;N;PA_1903;
courier;450;AYONGYI Sichuan (阿用驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_21582;;102.326459;27.332909;Y;MDYZK;
courier;451;LUCHUANYI Sichuan (泸川驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9725;;102.266953;27.899815;Y;MDYZK;
courier;452;LUGUGUAN Sichuan (泸沽驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_21516;;102.197121;28.307333;Y;MDYZK;
courier;453;NINGFANWEI Sichuan (宁番卫);http://maps.cga.harvard.edu/tgaz/placename/hvd_11285;;102.165703;28.550951;Y;MDYZK;
courier;454;YUEXI Sichuan (越xi);http://maps.cga.harvard.edu/tgaz/placename/hvd_1286;;102.503777;28.643764;Y;MDYZK;
courier;455;QINGXI Sichuan (清溪);http://maps.cga.harvard.edu/tgaz/placename/hvd_1210;;102.617798;29.585054;N;PA_1903;
courier;456;FULIN Sichuan (富林);http://maps.cga.harvard.edu/tgaz/placename/hvd_166291;;102.676926;29.354038;N;PA_1903;
courier;457;JINGKOUYI Sichuan (箐口驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1255;;102.837318;29.795326;Y;MDYZK;
courier;458;YA'AN Sichuan (雅安驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9716;;102.984367;29.985556;Y;MDYZK;
courier;459;TAIPINGYI Sichuan (太平驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_1219;;102.750504;30.078638;Y;MDYZK;
courier;460;QIONGZHOU Sichuan (邛州);http://maps.cga.harvard.edu/tgaz/placename/hvd_9711;;103.456825;30.416590;Y;MDYZK;
courier;461;JIADING Sichuan (嘉定州);http://maps.cga.harvard.edu/tgaz/placename/hvd_9717;;103.751564;29.570686;Y;MDYZK;
courier;462;ZHUGENTAN Sichuan (竹根滩);http://maps.cga.harvard.edu/tgaz/placename/hvd_164862;;103.814690;29.401199;N;PA_1903;
courier;463;JIANWEI Sichuan (犍为);http://maps.cga.harvard.edu/tgaz/placename/hvd_1262;;103.943123;29.209244;Y;MDYZK;
courier;464;NIUHUAXI Sichuan (牛华溪);http://maps.cga.harvard.edu/tgaz/placename/hvd_21635;;103.809395;29.469742;N;PA_1903;
courier;465;QINGSHEN Sichuan (青神);http://maps.cga.harvard.edu/tgaz/placename/hvd_1311;;103.845108;29.837276;Y;MDYZK;
courier;466;MEIZHOU Sichuan (眉州驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9712;;103.831459;30.050497;Y;MDYZK;
courier;467;PENGSHAN Sichuan (彭山);http://maps.cga.harvard.edu/tgaz/placename/hvd_1229;;103.869247;30.200752;Y;MDYZK;
courier;468;CHONGQINGZHOU Sichuan (崇庆州);http://maps.cga.harvard.edu/tgaz/placename/hvd_1228;;103.672607;30.636564;Y;MDYZK;
