FID,the_geom,MAJ_MINOR,SOURCE
ming_courier_routes_2014_kei.179,"MULTILINESTRING ((106.46762084960938 26.556049346923828, 106.26085662841797 26.417787551879883))",1,
ming_courier_routes_2014_kei.180,"MULTILINESTRING ((106.26085662841797 26.417787551879883, 105.92786407470703 26.243244171142578))",1,
ming_courier_routes_2014_kei.181,"MULTILINESTRING ((105.92786407470703 26.243244171142578, 105.76355743408203 26.054595947265625))",1,
ming_courier_routes_2014_kei.182,"MULTILINESTRING ((105.76355743408203 26.054595947265625, 105.48582458496094 25.910207748413086))",1,
ming_courier_routes_2014_kei.183,"MULTILINESTRING ((105.48582458496094 25.910207748413086, 105.21588134765625 25.83346939086914))",1,
ming_courier_routes_2014_kei.184,"MULTILINESTRING ((105.21588134765625 25.83346939086914, 104.95207977294922 25.788410186767578))",1,
ming_courier_routes_2014_kei.185,"MULTILINESTRING ((104.95207977294922 25.788410186767578, 104.64989471435547 25.793142318725586))",1,
ming_courier_routes_2014_kei.186,"MULTILINESTRING ((104.64989471435541 25.7931423187257, 104.01197800000011 25.65714500000007))",1,
ming_courier_routes_2014_kei.187,"MULTILINESTRING ((103.7967758178711 25.4958438873291, 103.82211303710938 25.609928131103516))",1,
ming_courier_routes_2014_kei.188,"MULTILINESTRING ((103.82211303710938 25.609928131103516, 103.7967758178711 25.4958438873291))",1,
ming_courier_routes_2014_kei.189,"MULTILINESTRING ((103.7967758178711 25.4958438873291, 103.58020782470703 25.428434371948242))",1,
ming_courier_routes_2014_kei.190,"MULTILINESTRING ((103.58020782470703 25.428434371948242, 103.06188999999999 25.220108000000018))",1,
ming_courier_routes_2014_kei.191,"MULTILINESTRING ((103.06188999999999 25.220108000000018, 102.7103500366211 25.045913696289062))",1,
ming_courier_routes_2014_kei.192,"MULTILINESTRING ((112.508056640625 37.59361267089855, 112.50899505615234 37.55718231201183))",1,MDYZK
ming_courier_routes_2014_kei.193,"MULTILINESTRING ((112.3569490000001 37.41525300000018, 112.31529998779308 37.353816986083984))",1,MDYZK
ming_courier_routes_2014_kei.194,"MULTILINESTRING ((112.31529998779297 37.353816986083984, 112.216796875 37.28424835205078))",1,MDYZK
ming_courier_routes_2014_kei.195,"MULTILINESTRING ((112.216796875 37.284248352050724, 111.91216300000002 37.02647400000012))",1,MDYZK
ming_courier_routes_2014_kei.196,"MULTILINESTRING ((111.91216300000002 37.02647400000012, 111.77621459960943 36.84215164184576))",1,MDYZK
ming_courier_routes_2014_kei.197,"MULTILINESTRING ((111.76685300000014 36.745735000000025, 111.72808074951172 36.56382369995123))",1,MDYZK
ming_courier_routes_2014_kei.198,"MULTILINESTRING ((111.72808074951172 36.56382369995117, 111.68291473388672 36.2593994140625))",1,
ming_courier_routes_2014_kei.199,"MULTILINESTRING ((111.68291473388672 36.2593994140625, 111.51543426513672 36.07803726196289))",1,
ming_courier_routes_2014_kei.200,"MULTILINESTRING ((111.51543426513672 36.07803726196295, 111.44947800000011 35.79209500000002))",1,MDYZK
ming_courier_routes_2014_kei.201,"MULTILINESTRING ((111.33807400000018 35.608864000000096, 111.21720886230474 35.3577232360841))",1,MDYZK
ming_courier_routes_2014_kei.202,"MULTILINESTRING ((111.21720886230474 35.3577232360841, 110.94999694824224 35.06666564941412))",1,MDYZK
