id;source;target;label;geom;maj_minor;src
100;198;662;LVTING Anhui (吕亭驿) - TAOCHONGYI Anhui (陶冲驿);{"type":"MultiLineString","coordinates":[[[116.938606262207,31.0522804260253],[116.790157,30.922533]]]};1;MDYZK
101;191;663;QINGKOU Anhui (青口驿) - XIAOCHIYI Anhui (小池驿);{"type":"MultiLineString","coordinates":[[[116.567199707031,30.6303462982178],[116.395973000847,30.5246699992475]]]};1;MDYZK
102;176;183;FENGXIANGYI Anhui (枫香驿) - TAIHU Anhui (太湖);{"type":"MultiLineString","coordinates":[[[116.265075683594,30.4200592041017],[116.216667175293,30.3666667938232]]]};1;MDYZK
103;664;169;SUSONG Anhui (宿松) - TINGQIAN Hubei (亭前驿);{"type":"MultiLineString","coordinates":[[[116.114196777344,30.1512126922607],[115.934936523438,30.0792007446289]]]};1;MDYZK
104;169;171;TINGQIAN Hubei (亭前驿) - XUNYANG Jiangxi (浔阳驿);{"type":"MultiLineString","coordinates":[[[115.934936523438,30.0792007446289],[115.985679626465,29.7223644256592]]]};1;
105;171;863;XUNYANG Jiangxi (浔阳驿) - KUANGLUYI Jiangxi (匡庐驿);{"type":"MultiLineString","coordinates":[[[115.985679626465,29.7223644256592],[116.041122,29.4534860000001]]]};1;
106;165;166;DE'AN Jiangxi (德安) - JIANCHANG Jiangxi (建昌);{"type":"MultiLineString","coordinates":[[[115.745025634766,29.3305644989014],[115.761817932129,29.0878314971924]]]};1;
107;166;168;JIANCHANG Jiangxi (建昌) - NANPU Jiangxi (南浦驿);{"type":"MultiLineString","coordinates":[[[115.761817932129,29.0878314971924],[115.897720336914,28.6748962402344]]]};1;
108;168;866;NANPU Jiangxi (南浦驿) - SHICHAYI Jiangxi (市汊驿);{"type":"MultiLineString","coordinates":[[[115.897720336914,28.6748962402344],[115.836689,28.4112890000001]]]};1;
109;161;867;XIAOTAN Jiangxi (萧滩驿) - JIANJIANGYI Jiangxi (剑江驿);{"type":"MultiLineString","coordinates":[[[115.785782,28.1977540000001],[115.398986816406,28.0155696868897]]]};1;
110;160;161;JINCHUAN Jiangxi (金川驿) - XIAOTAN Jiangxi (萧滩驿);{"type":"MultiLineString","coordinates":[[[115.398986816406,28.0155696868896],[115.383399963379,27.759880065918]]]};1;
